stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,area_id
59323,Greenly Dr & Keller Av,59323,,37.76971,-122.15913,AC:63324,,0,,,0,,59323
59002,Greenly Dr & Lamp St,59002,,37.77038,-122.16017,AC:63324,,0,,,0,,59002
55963,Greenly Dr & Lamp St,55963,,37.77046,-122.16056,AC:63324,,0,,,0,,55963
52726,Griffin Dr & McGlothen Way,52726,,37.98472,-122.35248,AC:63324,,0,,,0,,52726
52575,Grimmer Blvd & Auto Mall Pkwy,52575,,37.51006,-121.96330,AC:63324,,0,,,0,,52575
59399,Grimmer Blvd & Blacow Rd,59399,,37.52202,-121.96915,AC:63324,,0,,,0,,59399
55105,Grimmer Blvd & Blacow Rd,55105,,37.52204,-121.96881,AC:63324,,0,,,0,,55105
52874,Grimmer Blvd & Carol Av,52874,,37.52702,-121.96965,AC:63324,,0,,,0,,52874
56075,Grimmer Blvd & Carol Av,56075,,37.52690,-121.96994,AC:63324,,0,,,0,,56075
57944,Grimmer Blvd & Davis St,57944,,37.53366,-121.96795,AC:63324,,0,,,0,,57944
51143,Grimmer Blvd & Davis St,51143,,37.53367,-121.96757,AC:63324,,0,,,0,,51143
53022,Grimmer Blvd & Doane St,53022,,37.51266,-121.96492,AC:63324,,0,,,0,,53022
52867,Grimmer Blvd & Fremont Blvd,52867,,37.53619,-121.96554,AC:63324,,0,,,0,,52867
52990,Grimmer Blvd & Fremont Blvd,52990,,37.53607,-121.96600,AC:63324,,0,,,0,,52990
56157,Grimmer Blvd & Irvington Av,56157,,37.53184,-121.96944,AC:63324,,0,,,0,,56157
56171,Grimmer Blvd & Irvington Av,56171,,37.53239,-121.96860,AC:63324,,0,,,0,,56171
59890,Grimmer Blvd & Paseo Padre Pkwy,59890,,37.54070,-121.96171,AC:63324,,0,,,0,,59890
52879,Grimmer Blvd & Seneca Park Av,52879,,37.51646,-121.96713,AC:63324,,0,,,0,,52879
51201,Grimmer Blvd & Seneca Park Av,51201,,37.51585,-121.96711,AC:63324,,0,,,0,,51201
51993,Grimmer Blvd & Valpey Park Av,51993,,37.51967,-121.96818,AC:63324,,0,,,0,,51993
51256,Grimmer Blvd & Valpey Park Av,51256,,37.51945,-121.96846,AC:63324,,0,,,0,,51256
52120,Grimmer Blvd & Yellowstone Park Dr,52120,,37.51308,-121.96551,AC:63324,,0,,,0,,52120
58189,Grizzly Peak Blvd & Arcade Av,58189,,37.88691,-122.25108,AC:63324,,0,,,0,,58189
58710,Grizzly Peak Blvd & Arcade Av,58710,,37.88712,-122.25147,AC:63324,,0,,,0,,58710
57610,Grizzly Peak Blvd & Avenida Dr,57610,,37.88480,-122.24846,AC:63324,,0,,,0,,57610
50337,Grizzly Peak Blvd & Creston Rd (North-West Jctn),50337,,37.90095,-122.26636,AC:63324,,0,,,0,,50337
58289,Grizzly Peak Blvd & Creston Rd (North-West Jctn),58289,,37.90085,-122.26642,AC:63324,,0,,,0,,58289
58389,Grizzly Peak Blvd & Creston Rd (South-East Jctn),58389,,37.89248,-122.25643,AC:63324,,0,,,0,,58389
55769,Grizzly Peak Blvd & Creston Rd (South-East Jctn),55769,,37.89260,-122.25645,AC:63324,,0,,,0,,55769
58689,Grizzly Peak Blvd & Forest Ln,58689,,37.89673,-122.26121,AC:63324,,0,,,0,,58689
59854,Grizzly Peak Blvd & Hill Rd,59854,,37.88585,-122.24916,AC:63324,,0,,,0,,59854
51231,Grizzly Peak Blvd & Hill Rd,51231,,37.88576,-122.24929,AC:63324,,0,,,0,,51231
55364,Grizzly Peak Blvd & Keeler Av,55364,,37.89936,-122.26517,AC:63324,,0,,,0,,55364
54014,Grizzly Peak Blvd & Keeler Av,54014,,37.89919,-122.26510,AC:63324,,0,,,0,,54014
58847,Grizzly Peak Blvd & Latham Ln,58847,,37.89414,-122.25826,AC:63324,,0,,,0,,58847
54124,Grizzly Peak Blvd & Latham Ln,54124,,37.89406,-122.25831,AC:63324,,0,,,0,,54124
55394,Grizzly Peak Blvd & Marin Av,55394,,37.89696,-122.26154,AC:63324,,0,,,0,,55394
57662,Grizzly Peak Blvd & Muir Way,57662,,37.89165,-122.25500,AC:63324,,0,,,0,,57662
50226,Grizzly Peak Blvd & Shasta Rd,50226,,37.89034,-122.25226,AC:63324,,0,,,0,,50226
54358,Grizzly Peak Blvd & Shasta Rd,54358,,37.89050,-122.25258,AC:63324,,0,,,0,,54358
54383,Grizzly Peak Blvd & Stevenson Av,54383,,37.89153,-122.25502,AC:63324,,0,,,0,,54383
54513,Grizzly Peak Blvd & Sunset Ln,54513,,37.89812,-122.26229,AC:63324,,0,,,0,,54513
51220,Grizzly Peak Blvd & Sunset Ln,51220,,37.89805,-122.26204,AC:63324,,0,,,0,,51220
52852,Groom Dr & Alta Mira Dr,52852,,37.97446,-122.32586,AC:63324,,0,,,0,,52852
55724,Groom Dr & Alta Mira Dr,55724,,37.97457,-122.32598,AC:63324,,0,,,0,,55724
55632,Groom Dr & Moyers Rd,55632,,37.97481,-122.32298,AC:63324,,0,,,0,,55632
53668,Groom Dr & Moyers Rd,53668,,37.97494,-122.32312,AC:63324,,0,,,0,,53668
51214,Grove Way & Gail Dr,51214,,37.68574,-122.08620,AC:63324,,0,,,0,,51214
50740,Grove Way & Gail Dr,50740,,37.68593,-122.08670,AC:63324,,0,,,0,,50740
52771,Grove Way & Gary Dr,52771,,37.68508,-122.08863,AC:63324,,0,,,0,,52771
51430,Grove Way & Gary Dr,51430,,37.68504,-122.08849,AC:63324,,0,,,0,,51430
54561,Grove Way & N 5th St,54561,,37.68415,-122.07707,AC:63324,,0,,,0,,54561
50876,Grove Way & N 5th St,50876,,37.68426,-122.07676,AC:63324,,0,,,0,,50876
52124,Grove Way & Orange Av,52124,,37.68422,-122.07971,AC:63324,,0,,,0,,52124
52140,Grove Way & Orange Av,52140,,37.68433,-122.07976,AC:63324,,0,,,0,,52140
53258,Grove Way & Tanglewood Dr,53258,,37.68431,-122.08225,AC:63324,,0,,,0,,53258
53218,Grove Way & Tanglewood Dr,53218,,37.68451,-122.08240,AC:63324,,0,,,0,,53218
54223,Halcyon Dr & Hesperian Blvd,54223,,37.70201,-122.13063,AC:63324,,0,,,0,,54223
56010,Halcyon Dr & Oleander St,56010,,37.70166,-122.13550,AC:63324,,0,,,0,,56010
50960,Halcyon Dr & Oleander St,50960,,37.70191,-122.13612,AC:63324,,0,,,0,,50960
53011,Halcyon Dr & Washington Av (Floresta Blvd),53011,,37.70168,-122.13968,AC:63324,,0,,,0,,53011
52119,Haley St & Cabernet Av,52119,,37.54010,-122.04982,AC:63324,,0,,,0,,52119
55162,Haley St & Cabernet Av,55162,,37.54036,-122.04998,AC:63324,,0,,,0,,55162
53288,Haley St & Cedar Blvd,53288,,37.53743,-122.04670,AC:63324,,0,,,0,,53288
55163,Haley St & Cedar Blvd,55163,,37.53782,-122.04690,AC:63324,,0,,,0,,55163
53988,Haley St & Jarvis Av,53988,,37.54167,-122.05599,AC:63324,,0,,,0,,53988
55169,Haley St & Railroad Crossing,55169,,37.54154,-122.05371,AC:63324,,0,,,0,,55169
53551,Haley St & Railroad Crossing,53551,,37.54144,-122.05374,AC:63324,,0,,,0,,53551
57898,Hall Av & Marina Way S,57898,,37.91382,-122.35652,AC:63324,,0,,,0,,57898
56295,Hansom Dr & Coach Dr,56295,,37.77055,-122.13622,AC:63324,,0,,,0,,56295
57854,Hansom Dr & Coach Dr,57854,,37.77024,-122.13639,AC:63324,,0,,,0,,57854
50970,Hansom Dr & Pinecrest Dr,50970,,37.77753,-122.14139,AC:63324,,0,,,0,,50970
56296,Hansom Dr & Pinecrest Dr,56296,,37.77768,-122.14138,AC:63324,,0,,,0,,56296
59006,Hansom Dr & Shay Dr (North-West Jctn),59006,,37.77477,-122.13761,AC:63324,,0,,,0,,59006
56305,Hansom Dr & Shay Dr (North-West Jctn),56305,,37.77477,-122.13777,AC:63324,,0,,,0,,56305
56303,Hansom Dr & Shay Dr (South-East Jctn),56303,,37.77199,-122.13629,AC:63324,,0,,,0,,56303
56306,Hansom Dr & Shay Dr (South-East Jctn),56306,,37.77230,-122.13628,AC:63324,,0,,,0,,56306
56315,Hansom Dr & Skyline Blvd,56315,,37.78134,-122.14280,AC:63324,,0,,,0,,56315
58745,Hansom Dr & Skyline Blvd,58745,,37.78154,-122.14199,AC:63324,,0,,,0,,58745
56316,Hansom Dr & Surrey Ln,56316,,37.77982,-122.14379,AC:63324,,0,,,0,,56316
58781,Hansom Dr & Surrey Ln,58781,,37.77971,-122.14355,AC:63324,,0,,,0,,58781
58782,Harbord Dr & Amy Dr,58782,,37.83417,-122.22456,AC:63324,,0,,,0,,58782
56351,Harbord Dr & Clarewood Dr,56351,,37.83527,-122.22624,AC:63324,,0,,,0,,56351
58443,Harbord Dr & Florence Av,58443,,37.83717,-122.22599,AC:63324,,0,,,0,,58443
56352,Harbord Dr & Florence Av,56352,,37.83748,-122.22654,AC:63324,,0,,,0,,56352
50443,Harbord Dr & Hilltop Cr,50443,,37.83501,-122.22579,AC:63324,,0,,,0,,50443
59116,Harbord Dr & Maxwelton Rd,59116,,37.83372,-122.22400,AC:63324,,0,,,0,,59116
51237,Harbord Dr & Moraga Av,51237,,37.83285,-122.22121,AC:63324,,0,,,0,,51237
56359,Harbord Dr & Moraga Av,56359,,37.83277,-122.22127,AC:63324,,0,,,0,,56359
58783,Harbord Dr & Templar Pl,58783,,37.83319,-122.22359,AC:63324,,0,,,0,,58783
53538,Harbour Way & Barrett Av,53538,,37.93880,-122.35990,AC:63324,,0,,,0,,53538
54584,Harbour Way & Bissell Av,54584,,37.93386,-122.36011,AC:63324,,0,,,0,,54584
55403,Harbour Way & Bissell Av,55403,,37.93431,-122.35989,AC:63324,,0,,,0,,55403
56881,Harbour Way & MacDonald Av,56881,,37.93526,-122.36010,AC:63324,,0,,,0,,56881
55406,Harbour Way & Ohio Av,55406,,37.93144,-122.35994,AC:63324,,0,,,0,,55406
55340,Harbour Way & Ohio Av,55340,,37.93132,-122.36014,AC:63324,,0,,,0,,55340
53774,Harbour Way & Pennsylvania Av,53774,,37.94218,-122.36004,AC:63324,,0,,,0,,53774
57447,Harbour Way & Pennsylvania Av,57447,,37.94201,-122.35989,AC:63324,,0,,,0,,57447
55741,Harbour Way & Ripley Av,55741,,37.94017,-122.36007,AC:63324,,0,,,0,,55741
55742,Harbour Way & Roosevelt Av,55742,,37.93986,-122.35992,AC:63324,,0,,,0,,55742
54541,Harbour Way S & Ford Point,54541,,37.90998,-122.35910,AC:63324,,0,,,0,,54541
56868,Harbour Way S & Maine Av,56868,,37.92821,-122.36015,AC:63324,,0,,,0,,56868
52189,Harbour Way South & Maine Av,52189,,37.92827,-122.35997,AC:63324,,0,,,0,,52189
51917,Harder Rd & Mocine Av,51917,,37.64932,-122.07634,AC:63324,,0,,,0,,51917
51918,Harder Rd & Soto Rd,51918,,37.64932,-122.07784,AC:63324,,0,,,0,,51918
52593,Harrison NB,52593,,37.80193,-122.26941,AC:63324,,0,,,0,,52593
52591,Harrison SB,52591,,37.80043,-122.26799,AC:63324,,0,,,0,,52591
53477,Harrison St & 29th St,53477,,37.81594,-122.25880,AC:63324,,0,,,0,,53477
50237,Harrison St & 8th St,50237,,37.79905,-122.26991,AC:63324,,0,,,0,,50237
58829,Harrison St & Bay Pl,58829,,37.81247,-122.26153,AC:63324,,0,,,0,,58829
58821,Harrison St & Frisbie St,58821,,37.81752,-122.25712,AC:63324,,0,,,0,,58821
55418,Harrison St & Grand Av,55418,,37.81120,-122.26210,AC:63324,,0,,,0,,55418
52381,Harrison St & Grand Av,52381,,37.81065,-122.26267,AC:63324,,0,,,0,,52381
51688,Harrison St & Hamilton Pl,51688,,37.81488,-122.25957,AC:63324,,0,,,0,,51688
59226,Harrison St & Hamilton Pl (West Lake Middle Sch.),59226,,37.81471,-122.25950,AC:63324,,0,,,0,,59226
55250,Harrison St & Moss Av,55250,,37.82062,-122.25311,AC:63324,,0,,,0,,55250
54600,Harrison St & Pearl St,54600,,37.81836,-122.25577,AC:63324,,0,,,0,,54600
56781,Harrison St & West Lake Middle School,56781,,37.81406,-122.26056,AC:63324,,0,,,0,,56781
55350,Harrison St & W MacArthur Blvd,55350,,37.82005,-122.25390,AC:63324,,0,,,0,,55350
55736,Harris Rd & Huntwood Av,55736,,37.63689,-122.06715,AC:63324,,0,,,0,,55736
53369,Harris Rd & Manon Av,53369,,37.63606,-122.06858,AC:63324,,0,,,0,,53369
57574,Harry Ells Pl & Lovonya Dejean M School,57574,,37.93290,-122.33810,AC:63324,,0,,,0,,57574
56882,Hartnett Av & Bayview Av,56882,,37.91499,-122.32331,AC:63324,,0,,,0,,56882
55028,Hartnett Av & Bayview Av,55028,,37.91519,-122.32324,AC:63324,,0,,,0,,55028
52234,Hartnett Av & Carlson Blvd,52234,,37.91700,-122.32682,AC:63324,,0,,,0,,52234
55640,Hartnett Av & Carlson Blvd,55640,,37.91691,-122.32657,AC:63324,,0,,,0,,55640
51750,Hassler Way & Oakport St,51750,,37.74788,-122.20433,AC:63324,,0,,,0,,51750
58834,Hassler Way & Oakport St,58834,,37.74768,-122.20446,AC:63324,,0,,,0,,58834
50229,Haste St & Milvia St,50229,,37.86459,-122.27029,AC:63324,,0,,,0,,50229
58005,Haste St & Shattuck Av,58005,,37.86491,-122.26793,AC:63324,,0,,,0,,58005
50447,Hays St & Davis St,50447,,37.72505,-122.15794,AC:63324,,0,,,0,,50447
51236,Hays St & W Estudillo Av,51236,,37.72473,-122.15755,AC:63324,,0,,,0,,51236
58759,Hays St & W Juana Av,58759,,37.72287,-122.15635,AC:63324,,0,,,0,,58759
53239,Hays St & W Juana Av,53239,,37.72279,-122.15645,AC:63324,,0,,,0,,53239
51209,Hayward BART,51209,,37.66951,-122.08641,AC:63324,,0,,,0,,51209
50555,Hayward BART,50555,,37.66989,-122.08695,AC:63324,,0,,,0,,50555
55911,Hayward BART,55911,,37.66963,-122.08661,AC:63324,,0,,,0,,55911
55662,Hayward BART,55662,,37.66983,-122.08667,AC:63324,,0,,,0,,55662
55055,Hayward BART,55055,,37.66959,-122.08631,AC:63324,,0,,,0,,55055
55255,Hayward BART,55255,,37.66938,-122.08603,AC:63324,,0,,,0,,55255
50511,Hayward BART,50511,,37.66972,-122.08650,AC:63324,,0,,,0,,50511
55532,Hayward BART,55532,,37.67024,-122.08718,AC:63324,,0,,,0,,55532
51588,Hayward BART,51588,,37.67010,-122.08709,AC:63324,,0,,,0,,51588
55665,Hayward BART,55665,,37.66928,-122.08610,AC:63324,,0,,,0,,55665
55500,Hayward BART,55500,,37.66974,-122.08677,AC:63324,,0,,,0,,55500
55667,Hayward BART,55667,,37.66950,-122.08619,AC:63324,,0,,,0,,55667
58558,Hearst Av & Arch St,58558,,37.87443,-122.26408,AC:63324,,0,,,0,,58558
55456,Hearst Av & Arch St,55456,,37.87459,-122.26423,AC:63324,,0,,,0,,55456
55006,Hearst Av & Euclid Av,55006,,37.87493,-122.26055,AC:63324,,0,,,0,,55006
57955,Hearst Av & Le Roy Av,57955,,37.87530,-122.25797,AC:63324,,0,,,0,,57955
52848,Hearst Av & Walnut St,52848,,37.87398,-122.26699,AC:63324,,0,,,0,,52848
56362,Heartwood Dr & Colton Blvd,56362,,37.83391,-122.20122,AC:63324,,0,,,0,,56362
56369,Heartwood Dr & Colton Blvd (East Jctn),56369,,37.83386,-122.20156,AC:63324,,0,,,0,,56369
56393,Heartwood Dr & Saroni Dr,56393,,37.83369,-122.20024,AC:63324,,0,,,0,,56393
58786,Hegenberger Lp & Hegenberger Rd,58786,,37.73687,-122.19576,AC:63324,,0,,,0,,58786
55025,Hegenberger Lp & Hegenberger Rd,55025,,37.73685,-122.19636,AC:63324,,0,,,0,,55025
54335,Hegenberger Rd & Airport Dr,54335,,37.73017,-122.19972,AC:63324,,0,,,0,,54335
51443,Hegenberger Rd & Baldwin St,51443,,37.74726,-122.19632,AC:63324,,0,,,0,,51443
52855,Hegenberger Rd & Baldwin St,52855,,37.74742,-122.19589,AC:63324,,0,,,0,,52855
53899,Hegenberger Rd & Collins Dr,53899,,37.74582,-122.19630,AC:63324,,0,,,0,,53899
50117,Hegenberger Rd & Doolittle Dr,50117,,37.72777,-122.20144,AC:63324,,0,,,0,,50117
55035,Hegenberger Rd & Doolittle Dr,55035,,37.72759,-122.20118,AC:63324,,0,,,0,,55035
56782,Hegenberger Rd & Edes Av,56782,,37.74507,-122.19585,AC:63324,,0,,,0,,56782
58556,Hegenberger Rd & Edgewater Dr,58556,,37.73654,-122.19712,AC:63324,,0,,,0,,58556
59333,Hegenberger Rd & Hegenberger Lp (N Jctn),59333,,37.73616,-122.19685,AC:63324,,0,,,0,,59333
59945,Hegenberger Rd & Hegenberger Lp (South Jctn),59945,,37.73401,-122.19781,AC:63324,,0,,,0,,59945
52166,Hegenberger Rd & Hegenberger Pl,52166,,37.73194,-122.19876,AC:63324,,0,,,0,,52166
58832,Hegenberger Rd & Leet Dr,58832,,37.73320,-122.19856,AC:63324,,0,,,0,,58832
55428,Hegenberger Rd & Pardee Dr,55428,,37.72949,-122.20049,AC:63324,,0,,,0,,55428
55180,Henry St & Berryman St,55180,,37.88359,-122.27087,AC:63324,,0,,,0,,55180
58533,Henry St & Berryman St,58533,,37.88340,-122.27111,AC:63324,,0,,,0,,58533
54646,Hesperian Blvd & Arf Av (Mt. Eden Sr High School),54646,,37.62416,-122.09275,AC:63324,,0,,,0,,54646
55224,Hesperian Blvd & Bartlett Av,55224,,37.66909,-122.12003,AC:63324,,0,,,0,,55224
52588,Hesperian Blvd & Bartlett Av,52588,,37.66839,-122.12003,AC:63324,,0,,,0,,52588
55125,Hesperian Blvd & Bockman Rd,55125,,37.67102,-122.12164,AC:63324,,0,,,0,,55125
51655,Hesperian Blvd & Bockman Rd,51655,,37.67187,-122.12179,AC:63324,,0,,,0,,51655
52089,Hesperian Blvd & Bolero Av,52089,,37.62976,-122.09583,AC:63324,,0,,,0,,52089
