route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
SF:14,SF:73692,SF:9558855,Fifth Street,,0,SF:1492,SF:180013,0,0
SF:29,SF:73692,SF:9544145,Baker Beach,,0,SF:2929,SF:180087,0,0
AC:801,AC:72906,AC:6072020,San Leandro BART,,1,AC:107940602,AC:shp-801-20,2,2
SF:LBUS,SF:73694,SF:9699883,Embarcadero,,0,SF:9532,SF:181684,0,0
AC:98,AC:72906,AC:12084020,Coliseum BART,,1,AC:108007002,AC:shp-98-51,0,0
SF:1,SF:73694,SF:9414377,Geary + 33rd Avenue,,1,SF:130,SF:179929,0,0
AC:40,AC:72906,AC:11707020,Downtown Oakland,,0,AC:108001502,AC:shp-40-15,2,2
SF:MBUS,SF:73693,SF:9721693,Balboa Park Station,,0,SF:9640,SF:180392,0,0
SF:1,SF:73694,SF:9414558,Drumm + Clay,,0,SF:136,SF:179931,0,0
AC:6,AC:72906,AC:3306020,Downtown Oakland,,0,AC:107587802,AC:shp-6-56,0,0
SC:26,SC:75706,SC:2975104,EASTRIDGE,,0,SC:2601,SC:100263,0,0
AC:72M,AC:72906,AC:9939020,Jack London Square,,0,AC:107826202,AC:shp-72M-58,0,0
SM:FLX,SM:73026,SM:2201005,Pacifica,2201005,0,,SM:FLXP0056,0,0
SC:Rapid 522,SC:75706,SC:2977178,RAPID EASTRIDGE,,0,SC:549,SC:100352,0,0
WC:JPX,WC:72892,WC:1017968255660,Hercules Transit Center,1017968255660,0,WC:1906,WC:p_5197,0,0
MA:35,MA:72918,MA:35066,San Rafael,,1,MA:91218,MA:111,0,0
SF:J,SF:73692,SF:9724750,Balboa Park,,0,SF:8307,SF:181848,0,0
SB:Vallejo - SF,SB:72856,SB:t_1216475_b_26808_tn_0,Vallejo,,1,,SB:p_179875,0,0
SC:64A,SC:72914,SC:2979634,OHLONE-CHYNOWETH STATION,,1,SC:6402,SC:100440,0,0
SF:49,SF:73694,SF:9545265,City College,,0,SF:4909,SF:180183,0,0
PE:2,PE:76180,PE:t11F-sl18-p86-r12,Eastside Transit Center,,1,PE:22,PE:134_shp,0,0
CC:18,CC:75939,CC:1138020,PH  BART,,1,CC:5802,CC:shp-18-51,2,2
SF:1,SF:73694,SF:9414548,Drumm + Clay,,0,SF:154,SF:179931,0,0
MA:219,MA:72918,MA:219039,Tiburon via Seminary,,1,MA:1014,MA:48,0,0
GG:71,GG:75205,GG:6865684,NOVATO,,0,GG:1486491,GG:710098,0,0
SI:Lot D,SI:74999,SI:0vl3hvx0r,Lot D,,0,SI:7,SI:BUSLOTD,1,1
SF:38,SF:73693,SF:9546737,Lands End - 48th Avenue,,0,SF:3891,SF:180129,0,0
AC:36,AC:72906,AC:6542020,West Oakland BART,,0,AC:107547402,AC:shp-36-54,0,0
AC:76,AC:72905,AC:4006070,El Cerrito Del Norte BART,,1,AC:106642307,AC:shp-76-04,0,0
SI:Red Line,SI:74999,SI:945,Red Line,,0,,SI:RED_shape,1,1
SF:LBUS,SF:73694,SF:9699881,Embarcadero,,0,SF:9537,SF:181684,0,0
AC:57,AC:72906,AC:5206020,Public Market Emeryville,,0,AC:107544102,AC:shp-57-59,0,0
AC:95,AC:72907,AC:7983010,Fairview District,,0,AC:107904001,AC:shp-95-07,0,0
SF:1,SF:73694,SF:9414381,Geary + 33rd Avenue,,1,SF:137,SF:179929,0,0
VN:11,VN:76094,VN:t_1000183_b_26203_tn_0,Vallejo Ferry Terminal,,1,VN:1107,VN:p_898110,0,0
ST:R,ST:73006,ST:t6B0-bBC0-sl8,RED LINE to EL CERRITO DEL NORTE El Cerrito Del No,,0,ST:3008,ST:2715_shp,0,0
AC:57,AC:72905,AC:7412070,Foothill Square,,1,AC:107214207,AC:shp-57-06,0,0
MA:71,MA:76018,MA:71807,Sausalito,,0,MA:91907,MA:165,0,0
AC:NX2,AC:72906,AC:12103020,High St. & MacArthur Blvd.,,0,AC:107998002,AC:shp-NX2-05,0,0
AC:6,AC:72905,AC:2994070,Downtown Berkeley,,1,AC:106976507,AC:shp-6-11,2,2
SC:26,SC:72914,SC:2974996,EASTRIDGE,,0,SC:2605,SC:100263,0,0
SF:TBUS,SF:73694,SF:9701374,Castro & Market,,1,SF:9435,SF:180476,0,0
SF:22,SF:73692,SF:9441360,Bay Street,,1,SF:2292,SF:180041,0,0
AC:51A,AC:72905,AC:855070,Fruitvale BART,,0,AC:108024907,AC:shp-51A-54,0,0
BA:OR-S,BA:72953,BA:2111503,Berryessa/North San Jose,,0,,BA:04_shp,0,0
