route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
AC:18,AC,18,Solano - Shattuck - MLK Jr.,,3,http://www.actransit.org/bus-lines-schedules/18,A52A2A,000000,0
AC:606,AC,606,Head Royce - Piedmont,,3,http://www.actransit.org/bus-lines-schedules/606,ffffff,000000,0
AC:51B,AC,51B,University - College - Rockridge,,3,http://www.actransit.org/bus-lines-schedules/51B,008000,000000,0
AC:210,AC,210,Fremont Blvd. - Mission San Jose,,3,http://www.actransit.org/bus-lines-schedules/210,EE82EE,000000,0
AC:54,AC,54,35th Ave. - Merritt College,,3,http://www.actransit.org/bus-lines-schedules/54,008080,000000,0
AC:51A,AC,51A,Broadway - Santa Clara,,3,http://www.actransit.org/bus-lines-schedules/51A,808000,000000,0
AC:45,AC,45,Seminary - Sobrante Park,,3,http://www.actransit.org/bus-lines-schedules/45,008080,000000,0
AC:840,AC,840,Foothill - Eastmont All Nighter,,3,http://www.actransit.org/bus-lines-schedules/840,FFC0CB,000000,0
AC:93,AC,93,Ashland - San Lorenzo - A St.,,3,http://www.actransit.org/bus-lines-schedules/93,FFC0CB,000000,0
AC:95,AC,95,D St. - Maud - Fairview,,3,http://www.actransit.org/bus-lines-schedules/95,E0B0FF,000000,0
AC:251,AC,251,Paseo Padre - Thornton - Cherry,,3,http://www.actransit.org/bus-lines-schedules/251,4f7942,000000,0
AC:J,AC,J,Sacramento -  Christie Transbay,,3,http://www.actransit.org/bus-lines-schedules/J,FFFF00,000000,0
AC:L,AC,L,San Pablo Transbay,,3,http://www.actransit.org/bus-lines-schedules/L,8A8AFF,000000,0
AC:19,AC,19,Buena Vista - Fruitvale,,3,http://www.actransit.org/bus-lines-schedules/19,87CEEB,000000,0
AC:98,AC,98,Eastmont - 98th Ave. - Edgewater,,3,http://www.actransit.org/bus-lines-schedules/98,FFC0CB,000000,0
AC:F,AC,F,Adeline - Market Transbay,,3,http://www.actransit.org/bus-lines-schedules/F,FFA500,000000,0
AC:57,AC,57,40th St. - MacArthur,,3,http://www.actransit.org/bus-lines-schedules/57,8A8AFF,000000,0
AC:88,AC,88,Sacramento - Market,,3,http://www.actransit.org/bus-lines-schedules/88,808000,000000,0
AC:21,AC,21,Dimond - Fruitvale - Bay Farm,,3,http://www.actransit.org/bus-lines-schedules/21,008000,000000,0
AC:62,AC,62,7th St. - San Antonio - 23rd Av.,,3,http://www.actransit.org/bus-lines-schedules/62,A52A2A,000000,0
AC:40,AC,40,Foothill - Bancroft - Bay Fair,,3,http://www.actransit.org/bus-lines-schedules/40,EE82EE,000000,0
AC:LA,AC,LA,Hilltop - Pierce Transbay,,3,http://www.actransit.org/bus-lines-schedules/LA,FFA500,000000,0
AC:65,AC,65,Grizzly Peak - Euclid,,3,http://www.actransit.org/bus-lines-schedules/65,EE82EE,000000,0
AC:7,AC,7,Arlington - 1000 Oaks - Shattuck,,3,http://www.actransit.org/bus-lines-schedules/7,4f7942,000000,0
AC:1T,AC,1T,Uptown Oakland\ San Leandro BART Southbound OWL,,3,http://www.actransit.org/bus-lines-schedules/1T,00ABC8,000000,0
AC:NL,AC,NL,MacArthur Transbay Limited,,3,http://www.actransit.org/bus-lines-schedules/NL,FFA500,000000,0
AC:200,AC,200,Decoto - Newark Blvd. - Mowry,,3,http://www.actransit.org/bus-lines-schedules/200,A52A2A,000000,0
AC:216,AC,216,Niles - Stevenson - NewPark,,3,http://www.actransit.org/bus-lines-schedules/216,FFA500,000000,0
AC:239,AC,239,Grimmer - Warm Springs,,3,http://www.actransit.org/bus-lines-schedules/239,008080,000000,0
AC:20,AC,20,Dimond - Fruitvale - South Shore,,3,http://www.actransit.org/bus-lines-schedules/20,FFA500,000000,0
AC:NX,AC,NX,Grand Lake - Laurel  Transbay,,3,http://www.actransit.org/bus-lines-schedules/NX,FFFF00,000000,0
AC:376,AC,376,Cutting - North Richmond Nights,,3,http://www.actransit.org/bus-lines-schedules/376,FFFF00,000000,0
AC:39,AC,39,Skyline - Dimond - Fruitvale,,3,http://www.actransit.org/bus-lines-schedules/39,E6E6FA,000000,0
AC:NX2,AC,NX2,MacArthur - Laurel Transbay,,3,http://www.actransit.org/bus-lines-schedules/NX2,87CEEB,000000,0
AC:O,AC,O,Santa Clara - Encinal Transbay,,3,http://www.actransit.org/bus-lines-schedules/O,E6E6FA,000000,0
AC:P,AC,P,Piedmont - Oakland Ave. Transbay,,3,http://www.actransit.org/bus-lines-schedules/P,E6E6FA,000000,0
AC:U,AC,U,Stanford - Dumbarton - Fremont,,3,http://www.actransit.org/bus-lines-schedules/U,FF6666,000000,0
AC:W,AC,W,High - South Shore Transbay,,3,http://www.actransit.org/bus-lines-schedules/W,FFC0CB,000000,0
AC:800,AC,800,Rich - Oak Transbay All Nighter,,3,http://www.actransit.org/bus-lines-schedules/800,7FFF00,000000,0
AC:52,AC,52,UC Village - Cedar - UC Campus,,3,http://www.actransit.org/bus-lines-schedules/52,FFC0CB,000000,0
AC:60,AC,60,CSUEB - Southland - Chabot Coll,,3,http://www.actransit.org/bus-lines-schedules/60,E6E6FA,000000,0
AC:67,AC,67,Tilden Park - Spruce - Oxford,,3,http://www.actransit.org/bus-lines-schedules/67,FFFF00,000000,0
AC:802,AC,802,San Pablo All Nighter,,3,http://www.actransit.org/bus-lines-schedules/802,4f7942,000000,0
AC:851,AC,851,College - Broadway All Nighter,,3,http://www.actransit.org/bus-lines-schedules/851,E0B0FF,000000,0
AC:NX1,AC,NX1,MacArthur - Grand Lake Transbay,,3,http://www.actransit.org/bus-lines-schedules/NX1,7FFF00,000000,0
AC:V,AC,V,Montclair - Park Blvd. Transbay,,3,http://www.actransit.org/bus-lines-schedules/V,E6E6FA,000000,0
AC:212,AC,212,Fremont Blvd. - Pacific Commons,,3,http://www.actransit.org/bus-lines-schedules/212,8A8AFF,000000,0
AC:217,AC,217,Mission San Jose - Milpitas,,3,http://www.actransit.org/bus-lines-schedules/217,E6E6FA,000000,0
AC:71,AC,71,Parchester - Rumrill - Carlson,,3,http://www.actransit.org/bus-lines-schedules/71,8A8AFF,000000,0
AC:702,AC,702,Pleas Hill Transbay Early Bird,,3,http://www.actransit.org/bus-lines-schedules/702,ffffff,000000,0
AC:232,AC,232,Mission - Decoto - NewPark,,3,http://www.actransit.org/bus-lines-schedules/232,EE82EE,000000,0
AC:34,AC,34,Estudillo - Davis - Meekland,,3,http://www.actransit.org/bus-lines-schedules/34,EE82EE,000000,0
AC:35,AC,35,Estudillo - Davis -  Lewelling,,3,http://www.actransit.org/bus-lines-schedules/35,008000,000000,0
